temperature,humidity,soil_moisture,label,description
31.7,79.5,63.7,Rice,"Requires warm, humid climate and plenty of water."
22.7,70.2,88.8,Rice,"Requires warm, humid climate and plenty of water."
33.0,81.7,60.5,Rice,"Requires warm, humid climate and plenty of water."
24.8,71.0,69.3,Rice,"Requires warm, humid climate and plenty of water."
30.1,81.9,70.0,Rice,"Requires warm, humid climate and plenty of water."
29.7,72.6,70.1,Rice,"Requires warm, humid climate and plenty of water."
30.9,77.2,66.2,Rice,"Requires warm, humid climate and plenty of water."
20.4,71.9,66.0,Rice,"Requires warm, humid climate and plenty of water."
20.2,72.5,82.0,Rice,"Requires warm, humid climate and plenty of water."
26.3,71.1,83.9,Rice,"Requires warm, humid climate and plenty of water."
20.3,85.2,68.5,Rice,"Requires warm, humid climate and plenty of water."
25.3,84.9,69.9,Rice,"Requires warm, humid climate and plenty of water."
31.9,82.2,63.5,Rice,"Requires warm, humid climate and plenty of water."
25.3,84.2,61.0,Rice,"Requires warm, humid climate and plenty of water."
32.4,75.0,80.7,Rice,"Requires warm, humid climate and plenty of water."
24.1,77.8,64.7,Rice,"Requires warm, humid climate and plenty of water."
28.2,74.7,62.2,Rice,"Requires warm, humid climate and plenty of water."
34.8,73.3,68.9,Rice,"Requires warm, humid climate and plenty of water."
29.1,77.2,61.4,Rice,"Requires warm, humid climate and plenty of water."
27.5,77.9,76.3,Rice,"Requires warm, humid climate and plenty of water."
25.3,75.5,88.5,Rice,"Requires warm, humid climate and plenty of water."
29.5,89.7,72.3,Rice,"Requires warm, humid climate and plenty of water."
26.5,77.4,84.1,Rice,"Requires warm, humid climate and plenty of water."
25.7,86.3,72.4,Rice,"Requires warm, humid climate and plenty of water."
30.9,76.8,68.6,Rice,"Requires warm, humid climate and plenty of water."
30.3,83.2,61.7,Rice,"Requires warm, humid climate and plenty of water."
23.7,81.3,67.4,Rice,"Requires warm, humid climate and plenty of water."
27.6,87.0,62.7,Rice,"Requires warm, humid climate and plenty of water."
20.8,89.8,81.9,Rice,"Requires warm, humid climate and plenty of water."
30.6,82.7,79.2,Rice,"Requires warm, humid climate and plenty of water."
29.4,73.8,67.4,Rice,"Requires warm, humid climate and plenty of water."
23.5,80.8,60.4,Rice,"Requires warm, humid climate and plenty of water."
24.8,79.9,69.4,Rice,"Requires warm, humid climate and plenty of water."
30.0,80.6,60.5,Rice,"Requires warm, humid climate and plenty of water."
23.8,76.1,61.3,Rice,"Requires warm, humid climate and plenty of water."
31.2,86.6,73.8,Rice,"Requires warm, humid climate and plenty of water."
26.7,81.8,86.2,Rice,"Requires warm, humid climate and plenty of water."
27.1,75.3,81.5,Rice,"Requires warm, humid climate and plenty of water."
25.9,76.3,66.8,Rice,"Requires warm, humid climate and plenty of water."
20.4,87.6,88.4,Rice,"Requires warm, humid climate and plenty of water."
28.6,79.9,62.7,Rice,"Requires warm, humid climate and plenty of water."
31.0,89.3,64.6,Rice,"Requires warm, humid climate and plenty of water."
34.9,77.0,84.1,Rice,"Requires warm, humid climate and plenty of water."
32.7,71.9,89.0,Rice,"Requires warm, humid climate and plenty of water."
32.1,80.9,76.7,Rice,"Requires warm, humid climate and plenty of water."
20.1,73.4,80.9,Rice,"Requires warm, humid climate and plenty of water."
26.1,74.0,66.8,Rice,"Requires warm, humid climate and plenty of water."
23.1,86.6,78.9,Rice,"Requires warm, humid climate and plenty of water."
34.3,87.6,61.6,Rice,"Requires warm, humid climate and plenty of water."
24.1,86.9,65.5,Rice,"Requires warm, humid climate and plenty of water."
33.2,74.5,62.6,Rice,"Requires warm, humid climate and plenty of water."
25.8,74.2,80.7,Rice,"Requires warm, humid climate and plenty of water."
24.0,80.0,88.2,Rice,"Requires warm, humid climate and plenty of water."
31.4,77.0,78.5,Rice,"Requires warm, humid climate and plenty of water."
24.8,87.8,80.8,Rice,"Requires warm, humid climate and plenty of water."
23.1,82.5,79.2,Rice,"Requires warm, humid climate and plenty of water."
22.7,82.9,82.9,Rice,"Requires warm, humid climate and plenty of water."
21.7,81.7,66.0,Rice,"Requires warm, humid climate and plenty of water."
34.4,79.5,72.1,Rice,"Requires warm, humid climate and plenty of water."
23.7,78.1,75.6,Rice,"Requires warm, humid climate and plenty of water."
29.3,81.5,83.0,Rice,"Requires warm, humid climate and plenty of water."
32.4,76.6,86.8,Rice,"Requires warm, humid climate and plenty of water."
24.1,79.5,73.6,Rice,"Requires warm, humid climate and plenty of water."
30.6,84.9,86.4,Rice,"Requires warm, humid climate and plenty of water."
20.4,86.4,62.6,Rice,"Requires warm, humid climate and plenty of water."
34.1,87.9,72.8,Rice,"Requires warm, humid climate and plenty of water."
28.1,75.9,61.9,Rice,"Requires warm, humid climate and plenty of water."
21.1,74.5,65.0,Rice,"Requires warm, humid climate and plenty of water."
22.4,84.8,84.7,Rice,"Requires warm, humid climate and plenty of water."
21.2,79.7,69.5,Rice,"Requires warm, humid climate and plenty of water."
20.8,76.3,84.3,Rice,"Requires warm, humid climate and plenty of water."
23.4,70.9,77.3,Rice,"Requires warm, humid climate and plenty of water."
23.1,89.3,86.2,Rice,"Requires warm, humid climate and plenty of water."
21.2,70.1,71.2,Rice,"Requires warm, humid climate and plenty of water."
20.1,83.9,64.0,Rice,"Requires warm, humid climate and plenty of water."
32.2,89.4,62.4,Rice,"Requires warm, humid climate and plenty of water."
26.5,72.7,82.9,Rice,"Requires warm, humid climate and plenty of water."
29.6,75.1,61.0,Rice,"Requires warm, humid climate and plenty of water."
22.8,80.4,83.2,Rice,"Requires warm, humid climate and plenty of water."
32.5,75.9,74.7,Rice,"Requires warm, humid climate and plenty of water."
33.3,87.5,66.8,Rice,"Requires warm, humid climate and plenty of water."
21.7,72.5,65.2,Rice,"Requires warm, humid climate and plenty of water."
21.4,83.1,72.6,Rice,"Requires warm, humid climate and plenty of water."
31.5,78.6,69.4,Rice,"Requires warm, humid climate and plenty of water."
22.3,82.3,65.9,Rice,"Requires warm, humid climate and plenty of water."
29.0,78.0,87.4,Rice,"Requires warm, humid climate and plenty of water."
21.7,82.2,67.6,Rice,"Requires warm, humid climate and plenty of water."
23.6,88.5,73.9,Rice,"Requires warm, humid climate and plenty of water."
29.7,70.4,69.9,Rice,"Requires warm, humid climate and plenty of water."
28.5,76.8,81.3,Rice,"Requires warm, humid climate and plenty of water."
22.2,81.4,79.2,Rice,"Requires warm, humid climate and plenty of water."
32.6,71.9,77.7,Rice,"Requires warm, humid climate and plenty of water."
22.5,73.5,79.9,Rice,"Requires warm, humid climate and plenty of water."
29.5,76.5,81.7,Rice,"Requires warm, humid climate and plenty of water."
20.3,73.0,80.4,Rice,"Requires warm, humid climate and plenty of water."
26.3,79.3,65.8,Rice,"Requires warm, humid climate and plenty of water."
32.6,77.5,69.3,Rice,"Requires warm, humid climate and plenty of water."
30.1,86.1,89.4,Rice,"Requires warm, humid climate and plenty of water."
20.3,70.2,84.8,Rice,"Requires warm, humid climate and plenty of water."
25.9,72.6,66.8,Rice,"Requires warm, humid climate and plenty of water."
25.0,68.6,48.7,Wheat,Thrives in cooler climates with moderate moisture.
20.0,57.3,42.1,Wheat,Thrives in cooler climates with moderate moisture.
12.4,64.9,40.1,Wheat,Thrives in cooler climates with moderate moisture.
24.7,62.5,55.0,Wheat,Thrives in cooler climates with moderate moisture.
10.2,53.7,52.8,Wheat,Thrives in cooler climates with moderate moisture.
13.7,57.0,42.3,Wheat,Thrives in cooler climates with moderate moisture.
10.5,52.2,45.0,Wheat,Thrives in cooler climates with moderate moisture.
12.6,57.2,54.8,Wheat,Thrives in cooler climates with moderate moisture.
13.8,68.3,49.8,Wheat,Thrives in cooler climates with moderate moisture.
16.9,53.9,58.7,Wheat,Thrives in cooler climates with moderate moisture.
10.8,65.5,42.2,Wheat,Thrives in cooler climates with moderate moisture.
21.7,51.6,48.1,Wheat,Thrives in cooler climates with moderate moisture.
21.0,51.0,48.3,Wheat,Thrives in cooler climates with moderate moisture.
11.6,52.0,57.7,Wheat,Thrives in cooler climates with moderate moisture.
21.2,53.5,59.4,Wheat,Thrives in cooler climates with moderate moisture.
14.8,56.1,58.3,Wheat,Thrives in cooler climates with moderate moisture.
21.5,55.0,52.8,Wheat,Thrives in cooler climates with moderate moisture.
19.1,70.0,49.1,Wheat,Thrives in cooler climates with moderate moisture.
10.7,55.8,56.0,Wheat,Thrives in cooler climates with moderate moisture.
